lecture,domain,model,bert_precision,bert_recall,bert_f1
ml_neural_network,Machine Learning,BART-large-CNN,0.8430343866348267,0.8020213842391968,0.8220166563987732
ml_neural_network,Machine Learning,T5-base (baseline),0.7951351404190063,0.8050644397735596,0.8000690340995789
ml_neural_network,Machine Learning,T5-base (fine-tuned),0.8103067278862,0.8028703927993774,0.8065714836120605
history_neoliberalism,History,BART-large-CNN,0.8408700227737427,0.7880048751831055,0.8135796189308167
history_neoliberalism,History,T5-base (baseline),0.7905992865562439,0.794658899307251,0.7926238179206848
history_neoliberalism,History,T5-base (fine-tuned),0.7957440614700317,0.7901854515075684,0.7929549813270569
psych_wellbeing,Psychology,BART-large-CNN,0.8062036037445068,0.7835644483566284,0.794722855091095
psych_wellbeing,Psychology,T5-base (baseline),0.7840862274169922,0.7807990312576294,0.7824392318725586
psych_wellbeing,Psychology,T5-base (fine-tuned),0.794277548789978,0.7821962833404541,0.7881906628608704
