lecture,domain,model,rouge1_f,rouge2_f,rougeL_f,rouge1_p,rouge1_r
ml_neural_network,Machine Learning,BART-large-CNN,0.4,0.09606986899563319,0.2043478260869565,0.336996336996337,0.4919786096256685
ml_neural_network,Machine Learning,T5-base (baseline),0.3175,0.08521303258145363,0.13749999999999998,0.20717781402936378,0.679144385026738
ml_neural_network,Machine Learning,T5-base (fine-tuned),0.2268398268398268,0.07111882046834346,0.11774891774891776,0.1353305785123967,0.7005347593582888
history_neoliberalism,History,BART-large-CNN,0.3202416918429003,0.0972644376899696,0.2054380664652568,0.3271604938271605,0.3136094674556213
history_neoliberalism,History,T5-base (baseline),0.2589437819420784,0.05128205128205128,0.11584327086882451,0.18181818181818182,0.44970414201183434
history_neoliberalism,History,T5-base (fine-tuned),0.17521902377972468,0.04767879548306148,0.0951188986232791,0.1111111111111111,0.41420118343195267
psych_wellbeing,Psychology,BART-large-CNN,0.28346456692913385,0.047393364928909956,0.12598425196850394,0.19607843137254902,0.5113636363636364
psych_wellbeing,Psychology,T5-base (baseline),0.14865900383141764,0.024558710667689942,0.07509578544061302,0.08591674047829938,0.5511363636363636
psych_wellbeing,Psychology,T5-base (fine-tuned),0.11995863495346433,0.020703933747412005,0.0610134436401241,0.06598407281001138,0.6590909090909091
